Ano;Mês;"UF do Produto";"Valor FOB (US$)"
2011;09;"Santa Catarina";728122043
2011;02;"Santa Catarina";618436353
2011;01;"Santa Catarina";523916317
2010;07;"Santa Catarina";734265419
2010;05;"Santa Catarina";698919135
2010;12;"Santa Catarina";692673199
2010;08;"Santa Catarina";692021439
2010;09;"Santa Catarina";654944666
2010;10;"Santa Catarina";649596050
2010;06;"Santa Catarina";640573228
2010;03;"Santa Catarina";637614491
2010;04;"Santa Catarina";625390466
2010;11;"Santa Catarina";593829857
2010;02;"Santa Catarina";509119133
2010;01;"Santa Catarina";425323188
2009;06;"Santa Catarina";617185684
2009;05;"Santa Catarina";604594937
2009;12;"Santa Catarina";584686402
2009;10;"Santa Catarina";552809894
2009;07;"Santa Catarina";552121479
2009;11;"Santa Catarina";537035571
2009;04;"Santa Catarina";527989167
2009;03;"Santa Catarina";527641618
2009;08;"Santa Catarina";515000730
2009;09;"Santa Catarina";501298431
2009;02;"Santa Catarina";447438377
2009;01;"Santa Catarina";438694889
2008;05;"Santa Catarina";866401509
2008;07;"Santa Catarina";831557277
2008;06;"Santa Catarina";799251576
2008;08;"Santa Catarina";794333106
2008;09;"Santa Catarina";767475782
2008;10;"Santa Catarina";742330915
2008;04;"Santa Catarina";653454812
2008;03;"Santa Catarina";652118101
2008;02;"Santa Catarina";629462117
2008;12;"Santa Catarina";562950297
2008;01;"Santa Catarina";513266818
2008;11;"Santa Catarina";478520580
2007;08;"Santa Catarina";734912237
2007;10;"Santa Catarina";718013301
2007;05;"Santa Catarina";662163342
2007;07;"Santa Catarina";656576052
2007;11;"Santa Catarina";646548520
2007;03;"Santa Catarina";642508932
2007;12;"Santa Catarina";640358115
2007;09;"Santa Catarina";630026022
2007;06;"Santa Catarina";623299590
2007;04;"Santa Catarina";603493743
2007;02;"Santa Catarina";484618903
2007;01;"Santa Catarina";385034891
2006;08;"Santa Catarina";591865617
2006;11;"Santa Catarina";548869317
2006;07;"Santa Catarina";522818223
2006;09;"Santa Catarina";520590197
2006;12;"Santa Catarina";519600112
2006;05;"Santa Catarina";515051753
2006;10;"Santa Catarina";508780615
2006;03;"Santa Catarina";496078514
2006;06;"Santa Catarina";487726821
2006;04;"Santa Catarina";456779498
2006;02;"Santa Catarina";422592317
2006;01;"Santa Catarina";403153778
2005;12;"Santa Catarina";523025521
2005;07;"Santa Catarina";501931090
2005;08;"Santa Catarina";496106221
2005;10;"Santa Catarina";487989507
2005;06;"Santa Catarina";485933340
2005;03;"Santa Catarina";477423680
2005;09;"Santa Catarina";468628825
2005;04;"Santa Catarina";457700652
2005;05;"Santa Catarina";454525470
2005;11;"Santa Catarina";452445207
2005;02;"Santa Catarina";423289921
2005;01;"Santa Catarina";351838834
2004;08;"Santa Catarina";487894487
2004;12;"Santa Catarina";468715402
2004;06;"Santa Catarina";441119364
2004;07;"Santa Catarina";438903473
2004;09;"Santa Catarina";437221427
2004;10;"Santa Catarina";431478297
2004;11;"Santa Catarina";414609798
2004;05;"Santa Catarina";397354563
2004;03;"Santa Catarina";392866503
2004;04;"Santa Catarina";341359730
2004;02;"Santa Catarina";321326121
2004;01;"Santa Catarina";273909527
2003;12;"Santa Catarina";361325262
2003;10;"Santa Catarina";358396149
2003;09;"Santa Catarina";353279674
2003;08;"Santa Catarina";345332497
2003;11;"Santa Catarina";338501811
2003;05;"Santa Catarina";302039112
2003;04;"Santa Catarina";296044728
2003;07;"Santa Catarina";295925935
2003;06;"Santa Catarina";292940906
2003;03;"Santa Catarina";279258440
2003;02;"Santa Catarina";267197316
2003;01;"Santa Catarina";203091375
2002;10;"Santa Catarina";302063546
2002;09;"Santa Catarina";299049388
2002;07;"Santa Catarina";282028062
2002;03;"Santa Catarina";275332805
2002;08;"Santa Catarina";275257193
2002;12;"Santa Catarina";266532499
2002;11;"Santa Catarina";257215565
2002;05;"Santa Catarina";255387941
2002;04;"Santa Catarina";254078640
2002;02;"Santa Catarina";251224916
2002;06;"Santa Catarina";237303459
